Index,Title,Full Address,Neighborhood,District,Latitude,Longitude,Street,Bedrooms,Bathrooms,Parking,Floor Area,Land Area,Price
56,Modern living with stunning views,"305/34 Red Oaks Drive, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.026842,168.747614,305/34 Red Oaks Drive,2.0,2.0,0.0,86.2,0.0,899000.0
57,Central Location - Walk to Town,"661/2-6 Coronation Drive, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.032804,168.664413,661/2-6 Coronation Drive,2.0,2.0,1.0,90.2,0.0,none
58,An Alpine Escape,"16/154 Arthurs Point Road, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.980254,168.685498,16/154 Arthurs Point Road,2.0,2.0,1.0,72.2,0.0,none
59,The perfect starter in Jack's Point,"5 Escalator Avenue, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.064382,168.755191,5 Escalator Avenue,3.0,2.0,2.0,90.2,183.0,none
60,Modern and stylish with 365 VA approved!,"3 Packhorse Lane, Arthurs Point, Queenstown-Lakes",Arthurs Point,Queenstown-Lakes,-44.979727,168.687701,3 Packhorse Lane,3.0,2.0,2.0,170.2,164.0,none
61,Reduced for immediate action,"3 Casterway Crescent, Hanley's Farm, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.065099,168.751713,3 Casterway Crescent,3.0,2.0,0.0,102.2,167.0,920000.0
62,Modern home and income opportunity,"26 Tewa Street, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-45.011731,168.745911,26 Tewa Street,5.0,4.0,2.0,150.2,0.0,none
63,Entry Level on QT Hill - Ready Now,"9B Panorama Place, Queenstown Hill, Queenstown-Lakes",Queenstown Hill,Queenstown-Lakes,-45.033286,168.672221,9B Panorama Place,2.0,2.0,1.0,66.2,0.0,none
64,Must Be Sold - Entry Level in Jack's Point,"2 McGibbon Lane, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.073967,168.743308,2 McGibbon Lane,3.0,2.0,2.0,109.2,136.0,965000.0
65,Standout; standalone home,"18 Stewart Street, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-4.501647,168.726595,18 Stewart Street,2.0,1.0,0.0,80.2,304.0,989000.0
66,"Home, Holiday, or Invest","17/29 Panorama Terrace, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.033967,168.674131,17/29 Panorama Terrace,2.0,2.0,1.0,110.2,0.0,990000.0
